pixel_index,arch_index,position_along_arch,x_screen,y_screen,uv_x,uv_y,universe,channel
0,0,0.0000,22.0,366.0,0.0000,0.0000,17,1
1,0,0.0015,22.0,365.0,0.0015,0.0034,17,4
2,0,0.0029,22.0,364.1,0.0029,0.0067,17,7
3,0,0.0044,22.0,363.1,0.0044,0.0101,17,10
4,0,0.0058,22.0,362.2,0.0058,0.0134,17,13
5,0,0.0073,22.0,361.2,0.0073,0.0168,17,16
6,0,0.0087,22.0,360.2,0.0087,0.0202,17,19
7,0,0.0102,22.0,359.3,0.0102,0.0235,17,22
8,0,0.0116,22.0,358.3,0.0116,0.0269,17,25
9,0,0.0131,22.1,357.3,0.0131,0.0303,17,28
10,0,0.0145,22.1,356.4,0.0145,0.0336,17,31
11,0,0.0160,22.1,355.4,0.0160,0.0370,17,34
12,0,0.0174,22.1,354.5,0.0174,0.0403,17,37
13,0,0.0189,22.1,353.5,0.0189,0.0437,17,40
14,0,0.0203,22.1,352.5,0.0203,0.0471,17,43
15,0,0.0218,22.2,351.6,0.0218,0.0504,17,46
16,0,0.0232,22.2,350.6,0.0232,0.0538,17,49
17,0,0.0247,22.2,349.7,0.0247,0.0571,17,52
18,0,0.0261,22.2,348.7,0.0261,0.0605,17,55
19,0,0.0276,22.2,347.7,0.0276,0.0639,17,58
20,0,0.0290,22.3,346.8,0.0290,0.0672,17,61
21,0,0.0305,22.3,345.8,0.0305,0.0706,17,64
22,0,0.0319,22.3,344.9,0.0319,0.0739,17,67
23,0,0.0334,22.4,343.9,0.0334,0.0773,17,70
24,0,0.0348,22.4,342.9,0.0348,0.0807,17,73
25,0,0.0363,22.4,342.0,0.0363,0.0840,17,76
26,0,0.0377,22.5,341.0,0.0377,0.0874,17,79
27,0,0.0392,22.5,340.1,0.0392,0.0907,17,82
28,0,0.0406,22.5,339.1,0.0406,0.0941,17,85
29,0,0.0421,22.6,338.1,0.0421,0.0974,17,88
30,0,0.0435,22.6,337.2,0.0435,0.1008,17,91
31,0,0.0450,22.6,336.2,0.0450,0.1042,17,94
32,0,0.0464,22.7,335.2,0.0464,0.1075,17,97
33,0,0.0479,22.7,334.3,0.0479,0.1109,17,100
34,0,0.0493,22.8,333.3,0.0493,0.1142,17,103
35,0,0.0508,22.8,332.4,0.0508,0.1176,17,106
36,0,0.0522,22.9,331.4,0.0522,0.1210,17,109
37,0,0.0537,22.9,330.4,0.0537,0.1243,17,112
38,0,0.0552,23.0,329.5,0.0552,0.1277,17,115
39,0,0.0566,23.0,328.5,0.0566,0.1310,17,118
40,0,0.0581,23.1,327.6,0.0581,0.1344,17,121
41,0,0.0595,23.1,326.6,0.0595,0.1377,17,124
42,0,0.0610,23.2,325.6,0.0610,0.1411,17,127
43,0,0.0624,23.2,324.7,0.0624,0.1444,17,130
44,0,0.0639,23.3,323.7,0.0639,0.1478,17,133
45,0,0.0653,23.4,322.8,0.0653,0.1512,17,136
46,0,0.0668,23.4,321.8,0.0668,0.1545,17,139
47,0,0.0682,23.5,320.9,0.0682,0.1579,17,142
48,0,0.0697,23.5,319.9,0.0697,0.1612,17,145
49,0,0.0711,23.6,318.9,0.0711,0.1646,17,148
50,0,0.0726,23.7,318.0,0.0726,0.1679,17,151
51,0,0.0740,23.7,317.0,0.0740,0.1713,17,154
52,0,0.0755,23.8,316.1,0.0755,0.1746,17,157
53,0,0.0769,23.9,315.1,0.0769,0.1780,17,160
54,0,0.0784,24.0,314.1,0.0784,0.1813,17,163
55,0,0.0798,24.0,313.2,0.0798,0.1847,17,166
56,0,0.0813,24.1,312.2,0.0813,0.1880,17,169
57,0,0.0827,24.2,311.3,0.0827,0.1914,17,172
58,0,0.0842,24.3,310.3,0.0842,0.1947,17,175
