zone,pixel_id,universe,channel,cat_x,cat_y,cat_z,x_norm,y_norm,z_norm
main-arch,0,17,1,-12.3100,0.2410,-3.7525,0.0000,0.0087,0.3029
main-arch,1,17,4,-12.3100,0.4007,-3.7525,0.0000,0.0173,0.3029
main-arch,2,17,7,-12.3100,0.5604,-3.7525,0.0000,0.0258,0.3029
main-arch,3,17,10,-12.3100,0.7201,-3.7525,0.0000,0.0344,0.3029
main-arch,4,17,13,-12.3100,0.8798,-3.7525,0.0000,0.0430,0.3029
main-arch,5,17,16,-12.3100,1.0395,-3.7524,0.0000,0.0516,0.3029
main-arch,6,17,19,-12.3100,1.1993,-3.7524,0.0000,0.0601,0.3029
main-arch,7,17,22,-12.3100,1.3590,-3.7524,0.0000,0.0687,0.3029
main-arch,8,17,25,-12.3100,1.5187,-3.7524,0.0000,0.0773,0.3029
main-arch,9,17,28,-12.3100,1.6784,-3.7523,0.0000,0.0859,0.3029
main-arch,10,17,31,-12.3100,1.8381,-3.7523,0.0000,0.0944,0.3029
main-arch,11,17,34,-12.3100,1.9979,-3.7523,0.0000,0.1030,0.3029
main-arch,12,17,37,-12.3100,2.1576,-3.7523,0.0000,0.1116,0.3029
main-arch,13,17,40,-12.3100,2.3173,-3.7523,0.0000,0.1202,0.3029
main-arch,14,17,43,-12.3100,2.4770,-3.7522,0.0000,0.1287,0.3029
main-arch,15,17,46,-12.3100,2.6367,-3.7522,0.0000,0.1373,0.3029
main-arch,16,17,49,-12.3100,2.7964,-3.7522,0.0000,0.1459,0.3029
main-arch,17,17,52,-12.3100,2.9562,-3.7522,0.0000,0.1545,0.3029
main-arch,18,17,55,-12.3100,3.1159,-3.7522,0.0000,0.1630,0.3029
main-arch,19,17,58,-12.3100,3.2756,-3.7521,0.0000,0.1716,0.3029
main-arch,20,17,61,-12.3100,3.4353,-3.7521,0.0000,0.1802,0.3029
main-arch,21,17,64,-12.3100,3.5950,-3.7521,0.0000,0.1888,0.3029
main-arch,22,17,67,-12.3100,3.7548,-3.7521,0.0000,0.1974,0.3029
main-arch,23,17,70,-12.3100,3.9145,-3.7521,0.0000,0.2059,0.3029
main-arch,24,17,73,-12.3100,4.0742,-3.7520,0.0000,0.2145,0.3029
main-arch,25,17,76,-12.3100,4.2339,-3.7520,0.0000,0.2231,0.3029
main-arch,26,17,79,-12.3100,4.3936,-3.7520,0.0000,0.2317,0.3029
main-arch,27,17,82,-12.3100,4.5533,-3.7520,0.0000,0.2402,0.3029
main-arch,28,17,85,-12.3100,4.7131,-3.7520,0.0000,0.2488,0.3029
main-arch,29,17,88,-12.3100,4.8728,-3.7519,0.0000,0.2574,0.3029
main-arch,30,17,91,-12.3100,5.0325,-3.7519,0.0000,0.2660,0.3029
main-arch,31,17,94,-12.3100,5.1922,-3.7519,0.0000,0.2745,0.3029
main-arch,32,17,97,-12.3100,5.3519,-3.7519,0.0000,0.2831,0.3029
main-arch,33,17,100,-12.3100,5.5117,-3.7519,0.0000,0.2917,0.3029
main-arch,34,17,103,-12.3100,5.6714,-3.7518,0.0000,0.3003,0.3029
main-arch,35,17,106,-12.3100,5.8311,-3.7518,0.0000,0.3088,0.3029
main-arch,36,17,109,-12.3100,5.9908,-3.7518,0.0000,0.3174,0.3029
main-arch,37,17,112,-12.3100,6.1501,-3.7461,0.0000,0.3260,0.3032
main-arch,38,17,115,-12.3100,6.3082,-3.7844,0.0000,0.3345,0.3010
main-arch,39,17,118,-12.3100,6.4663,-3.7584,0.0000,0.3429,0.3025
main-arch,40,17,121,-12.3100,6.6233,-3.7266,0.0000,0.3514,0.3044
main-arch,41,17,124,-12.3100,6.7791,-3.6871,0.0000,0.3597,0.3067
